Species,Sample,FSC-A,FSC-W,SSC-A,DAPI-A,DAPI-W
Chicken,CRBC_150127,802,259,662,250,909
Chicken,CRBC_150127,789,258,647,243,908
Chicken,CRBC_150127,767,257,651,243,909
Chicken,CRBC_150127,830,256,681,265,909
Chicken,CRBC_150127,781,259,660,226,908
Chicken,CRBC_150127,847,425,714,491,956
Chicken,CRBC_150127,760,260,644,241,910
Chicken,CRBC_150127,837,257,659,247,908
Chicken,CRBC_150127,716,265,660,241,911
Chicken,CRBC_150127,829,257,646,254,909
Chicken,CRBC_150127,776,259,653,231,908
Chicken,CRBC_150127,790,260,622,225,909
Chicken,CRBC_150127,719,270,652,246,912
Chicken,CRBC_150127,731,259,657,218,909
Chicken,CRBC_150127,785,258,627,242,909
Chicken,CRBC_150127,744,260,695,243,909
Chicken,CRBC_150127,798,258,626,250,908
Chicken,CRBC_150127,790,258,674,240,909
Chicken,CRBC_150127,770,256,659,246,909
Chicken,CRBC_150127,764,260,642,236,910
Chicken,CRBC_150127,802,256,619,241,909
Chicken,CRBC_150127,775,261,682,245,908
Chicken,CRBC_150127,796,255,620,243,909
Chicken,CRBC_150127,790,257,619,240,908
Chicken,CRBC_150127,792,255,603,240,910
Chicken,CRBC_150127,845,505,699,470,962
Chicken,CRBC_150127,792,256,619,239,909
Chicken,CRBC_150127,832,256,627,242,909
Chicken,CRBC_150127,782,260,677,241,909
Chicken,CRBC_150127,794,255,643,248,909
Chicken,CRBC_150127,740,260,657,249,910
Chicken,CRBC_150127,783,258,675,225,909
Chicken,CRBC_150127,792,257,667,234,909
Chicken,CRBC_150127,752,259,640,232,909
Chicken,CRBC_150127,794,258,651,251,909
Chicken,CRBC_150127,736,259,697,211,909
Chicken,CRBC_150127,762,260,648,244,909
Chicken,CRBC_150127,817,256,661,232,909
Chicken,CRBC_150127,782,260,643,235,908
Chicken,CRBC_150127,751,258,612,243,910
Chicken,CRBC_150127,778,257,665,237,909
Chicken,CRBC_150127,787,256,641,228,909
Chicken,CRBC_150127,901,829,789,925,1010
Chicken,CRBC_150127,796,257,652,241,909
Chicken,CRBC_150127,749,258,672,230,909
Chicken,CRBC_150127,849,410,685,478,963
Chicken,CRBC_150127,773,260,680,225,908
Chicken,CRBC_150127,728,255,653,168,910
Chicken,CRBC_150127,786,259,634,261,909
Chicken,CRBC_150127,824,437,703,488,962
Chicken,CRBC_150127,823,256,609,229,908
