Species,Sample,FSC-A,FSC-W,SSC-A,DAPI-A,DAPI-W
Chicken,CRBC_end_150213,741,260,657,225,909
Chicken,CRBC_end_150213,798,261,658,217,908
Chicken,CRBC_end_150213,750,261,627,233,909
Chicken,CRBC_end_150213,664,256,660,182,909
Chicken,CRBC_end_150213,796,260,626,221,908
Chicken,CRBC_end_150213,720,266,602,206,909
Chicken,CRBC_end_150213,763,260,647,225,909
Chicken,CRBC_end_150213,746,261,639,234,908
Chicken,CRBC_end_150213,790,257,634,214,908
Chicken,CRBC_end_150213,784,261,637,222,908
Chicken,CRBC_end_150213,790,259,637,213,908
Chicken,CRBC_end_150213,787,259,604,195,907
Chicken,CRBC_end_150213,727,258,659,183,909
Chicken,CRBC_end_150213,774,260,637,228,908
Chicken,CRBC_end_150213,774,258,650,216,908
Chicken,CRBC_end_150213,730,256,643,205,908
Chicken,CRBC_end_150213,838,260,657,231,908
Chicken,CRBC_end_150213,761,262,665,219,908
Chicken,CRBC_end_150213,813,261,617,222,909
Chicken,CRBC_end_150213,732,257,618,202,908
Chicken,CRBC_end_150213,777,263,648,218,908
Chicken,CRBC_end_150213,716,260,658,227,909
Chicken,CRBC_end_150213,718,259,637,211,909
Chicken,CRBC_end_150213,738,269,613,251,909
Chicken,CRBC_end_150213,804,259,647,188,910
Chicken,CRBC_end_150213,793,259,616,210,907
Chicken,CRBC_end_150213,807,259,639,215,908
Chicken,CRBC_end_150213,791,261,593,229,908
Chicken,CRBC_end_150213,750,261,648,221,909
Chicken,CRBC_end_150213,811,261,622,219,908
Chicken,CRBC_end_150213,666,261,648,207,909
Chicken,CRBC_end_150213,797,260,649,209,908
Chicken,CRBC_end_150213,750,257,617,200,908
Chicken,CRBC_end_150213,734,260,610,214,908
Chicken,CRBC_end_150213,883,666,707,646,998
Chicken,CRBC_end_150213,737,257,622,198,908
Chicken,CRBC_end_150213,765,261,639,223,909
Chicken,CRBC_end_150213,730,260,636,226,909
Chicken,CRBC_end_150213,751,263,645,229,909
Chicken,CRBC_end_150213,744,258,615,225,908
Chicken,CRBC_end_150213,756,261,615,229,909
Chicken,CRBC_end_150213,776,259,644,202,908
Chicken,CRBC_end_150213,675,281,756,25,930
Chicken,CRBC_end_150213,756,259,637,182,908
Chicken,CRBC_end_150213,752,263,638,223,909
Chicken,CRBC_end_150213,754,262,633,234,909
Chicken,CRBC_end_150213,770,260,639,220,908
Chicken,CRBC_end_150213,781,335,695,446,964
Chicken,CRBC_end_150213,748,261,656,231,909
Chicken,CRBC_end_150213,745,262,631,224,909
Chicken,CRBC_end_150213,789,263,642,213,909
Chicken,CRBC_end_150213,751,263,590,216,908
Chicken,CRBC_end_150213,790,259,612,205,908
Chicken,CRBC_end_150213,774,260,678,228,909
Chicken,CRBC_end_150213,704,257,664,214,909
Chicken,CRBC_end_150213,790,261,639,222,908
Chicken,CRBC_end_150213,805,259,639,219,908
Chicken,CRBC_end_150213,800,259,642,225,908
Chicken,CRBC_end_150213,844,284,726,449,919
Chicken,CRBC_end_150213,780,258,613,214,907
Chicken,CRBC_end_150213,784,260,625,213,908
Chicken,CRBC_end_150213,753,258,660,201,908
Chicken,CRBC_end_150213,785,260,649,236,909
Chicken,CRBC_end_150213,778,258,603,201,908
Chicken,CRBC_end_150213,707,260,639,201,910
Chicken,CRBC_end_150213,777,261,648,220,908
Chicken,CRBC_end_150213,783,260,613,221,908
Chicken,CRBC_end_150213,756,259,635,216,908
Chicken,CRBC_end_150213,766,264,642,228,908
Chicken,CRBC_end_150213,778,260,634,224,908
Chicken,CRBC_end_150213,735,258,652,213,908
Chicken,CRBC_end_150213,751,256,613,202,908
Chicken,CRBC_end_150213,789,260,668,223,908
Chicken,CRBC_end_150213,692,259,643,207,908
Chicken,CRBC_end_150213,711,259,627,226,909
Chicken,CRBC_end_150213,795,260,640,224,908
Chicken,CRBC_end_150213,750,257,631,206,908
Chicken,CRBC_end_150213,733,260,634,208,909
Chicken,CRBC_end_150213,612,254,689,1,857
Chicken,CRBC_end_150213,776,258,646,197,907
Chicken,CRBC_end_150213,748,260,668,222,909
Chicken,CRBC_end_150213,802,257,625,212,907
Chicken,CRBC_end_150213,746,259,601,218,908
Chicken,CRBC_end_150213,850,294,684,431,922
Chicken,CRBC_end_150213,767,259,632,216,908
Chicken,CRBC_end_150213,693,254,655,183,908
Chicken,CRBC_end_150213,702,260,656,224,910
Chicken,CRBC_end_150213,642,252,616,137,908
Chicken,CRBC_end_150213,747,260,655,195,908
Chicken,CRBC_end_150213,747,257,617,198,908
Chicken,CRBC_end_150213,800,259,676,218,907
Chicken,CRBC_end_150213,789,262,619,210,908
Chicken,CRBC_end_150213,736,260,607,212,908
Chicken,CRBC_end_150213,801,260,654,224,908
Chicken,CRBC_end_150213,763,262,676,222,910
Chicken,CRBC_end_150213,746,262,669,231,909
Chicken,CRBC_end_150213,778,262,647,211,908
Chicken,CRBC_end_150213,772,261,649,220,908
Chicken,CRBC_end_150213,782,261,630,210,908
Chicken,CRBC_end_150213,781,258,649,210,908
Chicken,CRBC_end_150213,847,376,702,444,956
Chicken,CRBC_end_150213,728,262,648,215,909
Chicken,CRBC_end_150213,772,260,647,215,909
Chicken,CRBC_end_150213,759,260,623,217,909
Chicken,CRBC_end_150213,762,262,636,221,909
Chicken,CRBC_end_150213,766,258,657,228,909
Chicken,CRBC_end_150213,817,257,616,210,907
Chicken,CRBC_end_150213,791,259,656,225,908
Chicken,CRBC_end_150213,751,263,674,227,909
Chicken,CRBC_end_150213,729,259,643,220,908
Chicken,CRBC_end_150213,771,260,668,209,908
Chicken,CRBC_end_150213,856,483,718,437,959
Chicken,CRBC_end_150213,811,262,636,218,908
Chicken,CRBC_end_150213,815,259,580,206,907
Chicken,CRBC_end_150213,763,265,643,234,909
Chicken,CRBC_end_150213,766,262,635,231,909
Chicken,CRBC_end_150213,796,261,579,223,909
Chicken,CRBC_end_150213,779,260,610,231,908
Chicken,CRBC_end_150213,786,260,650,228,909
Chicken,CRBC_end_150213,774,260,667,240,909
Chicken,CRBC_end_150213,835,308,698,403,955
Chicken,CRBC_end_150213,789,260,633,221,908
Chicken,CRBC_end_150213,738,261,626,230,909
Chicken,CRBC_end_150213,764,259,640,231,909
Chicken,CRBC_end_150213,722,263,651,235,909
Chicken,CRBC_end_150213,757,259,661,189,908
Chicken,CRBC_end_150213,812,260,646,220,908
Chicken,CRBC_end_150213,807,261,670,218,908
Chicken,CRBC_end_150213,806,259,648,204,907
Chicken,CRBC_end_150213,812,261,673,222,908
Chicken,CRBC_end_150213,776,259,631,220,908
Chicken,CRBC_end_150213,763,263,623,219,909
Chicken,CRBC_end_150213,712,265,644,200,908
Chicken,CRBC_end_150213,779,259,619,218,908
Chicken,CRBC_end_150213,748,262,626,239,909
Chicken,CRBC_end_150213,794,257,627,198,908
Chicken,CRBC_end_150213,756,258,631,220,909
Chicken,CRBC_end_150213,796,379,683,401,964
Chicken,CRBC_end_150213,744,260,649,231,909
Chicken,CRBC_end_150213,804,260,651,212,908
Chicken,CRBC_end_150213,770,261,643,217,908
Chicken,CRBC_end_150213,746,264,616,225,909
Chicken,CRBC_end_150213,746,260,651,134,908
Chicken,CRBC_end_150213,783,257,622,203,908
Chicken,CRBC_end_150213,778,262,662,215,908
Chicken,CRBC_end_150213,742,256,604,205,908
Chicken,CRBC_end_150213,699,256,653,187,908
Chicken,CRBC_end_150213,778,260,615,226,908
Chicken,CRBC_end_150213,774,259,648,195,908
Chicken,CRBC_end_150213,654,265,593,193,909
Chicken,CRBC_end_150213,792,260,652,217,908
Chicken,CRBC_end_150213,826,259,664,216,908
Chicken,CRBC_end_150213,773,262,614,232,909
Chicken,CRBC_end_150213,631,265,635,213,910
Chicken,CRBC_end_150213,702,266,636,193,908
Chicken,CRBC_end_150213,780,258,629,221,908
Chicken,CRBC_end_150213,773,261,592,218,908
Chicken,CRBC_end_150213,757,265,656,234,909
Chicken,CRBC_end_150213,756,262,619,222,909
Chicken,CRBC_end_150213,777,261,663,224,908
Chicken,CRBC_end_150213,769,262,642,225,909
Chicken,CRBC_end_150213,800,257,609,183,908
Chicken,CRBC_end_150213,660,248,606,91,908
Chicken,CRBC_end_150213,822,260,631,231,908
Chicken,CRBC_end_150213,783,261,648,228,908
Chicken,CRBC_end_150213,744,265,637,222,909
Chicken,CRBC_end_150213,741,261,627,222,909
Chicken,CRBC_end_150213,716,258,635,188,908
Chicken,CRBC_end_150213,758,263,658,230,909
Chicken,CRBC_end_150213,760,261,678,223,909
Chicken,CRBC_end_150213,730,263,655,231,909
Chicken,CRBC_end_150213,786,259,633,207,908
Chicken,CRBC_end_150213,757,261,662,228,909
Chicken,CRBC_end_150213,744,262,646,219,909
Chicken,CRBC_end_150213,781,257,635,201,907
Chicken,CRBC_end_150213,764,260,639,228,909
Chicken,CRBC_end_150213,601,253,655,104,910
Chicken,CRBC_end_150213,757,261,636,225,909
Chicken,CRBC_end_150213,810,260,660,208,907
Chicken,CRBC_end_150213,742,258,615,206,908
Chicken,CRBC_end_150213,755,261,645,226,909
Chicken,CRBC_end_150213,752,258,677,217,909
Chicken,CRBC_end_150213,794,260,643,216,907
Chicken,CRBC_end_150213,805,260,604,227,908
Chicken,CRBC_end_150213,814,262,626,216,908
Chicken,CRBC_end_150213,750,259,633,212,909
Chicken,CRBC_end_150213,639,253,573,114,907
Chicken,CRBC_end_150213,644,259,643,59,909
Chicken,CRBC_end_150213,778,260,631,206,908
Chicken,CRBC_end_150213,764,259,646,218,909
Chicken,CRBC_end_150213,714,265,636,200,909
Chicken,CRBC_end_150213,776,260,665,218,909
Chicken,CRBC_end_150213,744,262,661,226,909
Chicken,CRBC_end_150213,806,260,649,230,908
Chicken,CRBC_end_150213,740,262,632,201,908
Chicken,CRBC_end_150213,735,261,653,219,909
Chicken,CRBC_end_150213,767,259,593,216,908
Chicken,CRBC_end_150213,768,260,640,232,909
Chicken,CRBC_end_150213,744,259,589,227,908
Chicken,CRBC_end_150213,741,258,633,207,908
Chicken,CRBC_end_150213,736,258,638,173,909
Chicken,CRBC_end_150213,752,261,674,231,909
Chicken,CRBC_end_150213,772,262,635,224,908
Chicken,CRBC_end_150213,828,258,641,223,908
Chicken,CRBC_end_150213,786,260,650,234,908
Chicken,CRBC_end_150213,843,509,694,415,963
Chicken,CRBC_end_150213,778,262,643,233,909
Chicken,CRBC_end_150213,698,267,674,221,909
Chicken,CRBC_end_150213,775,259,622,233,909
Chicken,CRBC_end_150213,744,262,688,223,908
Chicken,CRBC_end_150213,780,261,637,236,909
Chicken,CRBC_end_150213,793,259,624,221,908
Chicken,CRBC_end_150213,756,263,630,211,908
Chicken,CRBC_end_150213,770,261,633,221,909
